dataset,seed,explainer,users,mean_abs_raw_pop_shift,mean_raw_pop_shift,mean_raw_wasserstein,mean_cf_pce,mean_sps
Amazon-M20S10,0,grad_input_base,144,0.1590445397628678,0.05270229031642278,0.18345515321308803,0.20106358967296248,0.09200896984003708
Amazon-M20S10,1,grad_input_base,97,0.25271343478222486,0.2178867265735705,0.26421471961334714,0.3461093920830209,0.3102750983473833
Amazon-M20S10,2,grad_input_base,137,0.15858976031741956,0.1220966882079187,0.17654888282245146,0.2369659031037884,0.19624132253772664
Amazon-M20S10,0,grad_input_vapc,144,0.11386534737216102,0.03452645159429974,0.13864530586435525,0.1635678426153142,0.07412468210376819
Amazon-M20S10,1,grad_input_vapc,97,0.2058485976813995,0.17550705665165617,0.21751288260298998,0.29586096140729684,0.26126695224386387
Amazon-M20S10,2,grad_input_vapc,137,0.12322157512616067,0.09811178893938552,0.14080553285175046,0.19694171714600128,0.1679897489460046
Amazon-M20S10,0,loo_base,145,0.15482501295106163,0.05295592166226486,0.17909921776639517,0.19745628613148689,0.09184191947510137
Amazon-M20S10,1,loo_base,97,0.2498422676754981,0.2207439363617258,0.2631501313731547,0.34450895614664945,0.31238156260022654
Amazon-M20S10,2,loo_base,136,0.1618834251866621,0.12500527194317648,0.18054685856521746,0.24482732165012652,0.20649267725900783
Amazon-M20S10,0,loo_vapc,145,0.11089321970939636,0.03694132628112004,0.13580282500201268,0.16049680668968114,0.07823328566165769
Amazon-M20S10,1,loo_vapc,97,0.20853358138467848,0.17852631364901042,0.2206606929376344,0.29931531920441456,0.26394969713444005
Amazon-M20S10,2,loo_vapc,136,0.12902383966480985,0.10179713916252642,0.14499142696827796,0.20208110505169385,0.17297981508287738
Amazon-M20S10,0,lxr_base,113,0.11915978037678035,0.08525405085719792,0.14441056991856302,0.17178455094623882,0.14215785868457445
Amazon-M20S10,1,lxr_base,79,0.2012154901329475,0.19906745945351034,0.2117769141322174,0.2574934361922895,0.24806873225406634
Amazon-M20S10,2,lxr_base,108,0.1520650240558165,0.13823582977056503,0.16935928639669437,0.20712901263305414,0.1882242779281151
Amazon-M20S10,0,lxr_vapc,113,0.0966918130891513,0.06113850173697007,0.11711773520969745,0.15189016731293756,0.11769027845450353
Amazon-M20S10,1,lxr_vapc,79,0.1529669874831091,0.1485540595235704,0.16939451237827655,0.2100258259331055,0.19734283243829492
Amazon-M20S10,2,lxr_vapc,108,0.1313749129573504,0.1217222492452021,0.1443981149955643,0.1888760652888977,0.1728907411263743
Amazon-M20S10,0,mc_shapley_base,139,0.15738751562379247,0.044767235251639385,0.18282396445601537,0.20255213270851993,0.09022436377316037
Amazon-M20S10,1,mc_shapley_base,97,0.22866321101631085,0.1896714389938669,0.2479663979905076,0.31467215736611076,0.2708634913359991
Amazon-M20S10,2,mc_shapley_base,132,0.13655420483061761,0.08882070784315918,0.15669764161351288,0.20339791811739003,0.1547885101702713
Amazon-M20S10,0,mc_shapley_vapc,139,0.11808111481100535,0.03719120263624534,0.14127305303827717,0.1729573054174444,0.0831790643033751
Amazon-M20S10,1,mc_shapley_vapc,97,0.17952275460528344,0.14536276859106476,0.19594973331196597,0.26331387077055984,0.22423617669034093
Amazon-M20S10,2,mc_shapley_vapc,132,0.11411434547467665,0.08957745270295576,0.13335618237101496,0.18402413602025658,0.15368917663416934
