seed,dataset_label,backbone_label,explainer,hr10,hr50,hr100,mrr,mpr,eval_users,validity,no_cf_found_rate,mean_explanation_size,mean_score_drop,mean_cf_pce,mean_sps,mean_minimality_gap,median_minimality_gap,repair_changed_rate,mean_per_user_elapsed_seconds,median_per_user_elapsed_seconds,mean_ranking_seconds,mean_candidate_eval_seconds,mean_vapc_scoring_seconds
0,ML1M,history_neumf,grad_input_base,0.0993377483443708,0.2425496688741721,0.3385761589403973,0.0435619617219095,19.095412423535493,100,0.61,0.39,1.8688524590163933,0.0155720310133011,0.3951584935057657,0.3942371629668066,0.0,0.0,0.0,0.0116149444156326,0.0111100943759083,0.0048500878550112,0.0062163716577924,0.0
1,ML1M,history_neumf,grad_input_base,0.097682119205298,0.2127483443708609,0.287251655629139,0.0409093111480695,24.63599174193145,100,0.46,0.54,2.347826086956522,0.0103591939677362,0.3644571900073792,0.3283472740168156,0.0,0.0,0.0,0.0117957578436471,0.0109445271082222,0.0053614294249564,0.0058935689530335,0.0
2,ML1M,history_neumf,grad_input_base,0.1051324503311258,0.2326158940397351,0.3153973509933774,0.0471879544402435,23.190119698901743,100,0.72,0.28,2.083333333333333,0.0166033969985114,0.3590904962431087,0.3528016509250656,0.0,0.0,0.0,0.0119145205547101,0.0112988426117226,0.0053045768337324,0.0060686188680119,0.0
0,ML1M,history_neumf,grad_input_vapc,0.0993377483443708,0.2425496688741721,0.3385761589403973,0.0435619617219095,19.095412423535493,100,0.61,0.39,2.7868852459016398,0.0237138486299358,0.3616192299170659,0.3600524252068486,0.918032786885246,1.0,0.56,0.0117607192904688,0.0113498056307435,0.0048500878550112,0.0062163716577924,0.0001457748748362
1,ML1M,history_neumf,grad_input_vapc,0.097682119205298,0.2127483443708609,0.287251655629139,0.0409093111480695,24.63599174193145,100,0.46,0.54,3.217391304347826,0.0143152760422748,0.3406604870994659,0.3106513431955742,0.8695652173913043,1.0,0.4,0.0119041821127757,0.0110969961388036,0.0053614294249564,0.0058935689530335,0.0001084242691285
2,ML1M,history_neumf,grad_input_vapc,0.1051324503311258,0.2326158940397351,0.3153973509933774,0.0471879544402435,23.190119698901743,100,0.72,0.28,2.958333333333333,0.0236724093556404,0.3258866971189721,0.3169072839388716,0.875,1.0,0.63,0.0120733933500014,0.0115064035635441,0.0053045768337324,0.0060686188680119,0.0001588727952912
0,ML1M,history_neumf,loo_base,0.0993377483443708,0.2425496688741721,0.3385761589403973,0.0435619617219095,19.095412423535493,100,0.61,0.39,1.8688524590163933,0.0155599693782994,0.3972662888315714,0.3963449582926123,0.0,0.0,0.0,0.0105226256884634,0.0095354199875146,0.0035686802561394,0.0063725677039474,0.0
1,ML1M,history_neumf,loo_base,0.097682119205298,0.2127483443708609,0.287251655629139,0.0409093111480695,24.63599174193145,100,0.46,0.54,2.239130434782609,0.0101165019947549,0.3757958984474606,0.3425845334903559,0.0,0.0,0.0,0.0099938353290781,0.0090793651761487,0.0035010379878804,0.0059436841728165,0.0
2,ML1M,history_neumf,loo_base,0.1051324503311258,0.2326158940397351,0.3153973509933774,0.0471879544402435,23.190119698901743,100,0.72,0.28,2.0694444444444446,0.0164882805612352,0.3637201258727383,0.3574312805546952,0.0,0.0,0.0,0.0101315575861372,0.0094811855815351,0.0034543087380006,0.0061308730277232,0.0
0,ML1M,history_neumf,loo_vapc,0.0993377483443708,0.2425496688741721,0.3385761589403973,0.0435619617219095,19.095412423535493,100,0.61,0.39,2.7868852459016398,0.023709768154582,0.3608881836627988,0.3593213789525813,0.918032786885246,1.0,0.56,0.0106749697355553,0.0096482265507802,0.0035686802561394,0.0063725677039474,0.0001523440470919
1,ML1M,history_neumf,loo_vapc,0.097682119205298,0.2127483443708609,0.287251655629139,0.0409093111480695,24.63599174193145,100,0.46,0.54,3.130434782608696,0.0141106144241664,0.3417724297497053,0.3146618366633135,0.8913043478260869,1.0,0.41,0.0101066087698563,0.0092585579259321,0.0035010379878804,0.0059436841728165,0.0001127734407782
2,ML1M,history_neumf,loo_vapc,0.1051324503311258,0.2326158940397351,0.3153973509933774,0.0471879544402435,23.190119698901743,100,0.72,0.28,2.9444444444444446,0.023575108912256,0.3265413958664487,0.3175619827553351,0.875,1.0,0.63,0.010288492438849,0.0096918231574818,0.0034543087380006,0.0061308730277232,0.0001569348527118
0,ML1M,history_neumf,lxr_base,0.0993377483443708,0.2425496688741721,0.3385761589403973,0.0435619617219095,19.095412423535493,100,0.45,0.55,2.2888888888888888,0.0158878657552931,0.4137283865826547,0.4102749320364495,0.0,0.0,0.0,0.0081507148081436,0.0078342235647141,0.0015470547624863,0.0060476802126504,0.0
1,ML1M,history_neumf,lxr_base,0.097682119205298,0.2127483443708609,0.287251655629139,0.0409093111480695,24.63599174193145,100,0.38,0.62,2.710526315789474,0.0096438966299358,0.3015793348893237,0.279419998970302,0.0,0.0,0.0,0.0079855995625257,0.0075713066617026,0.0016327476268634,0.0058080453216098,0.0
2,ML1M,history_neumf,lxr_base,0.1051324503311258,0.2326158940397351,0.3153973509933774,0.0471879544402435,23.190119698901743,100,0.6,0.4,2.35,0.0157540947198867,0.3553281000462765,0.332127052193662,0.0,0.0,0.0,0.008108331025578,0.0077580549987033,0.0016040951758623,0.0059578240546397,0.0
0,ML1M,history_neumf,lxr_vapc,0.0993377483443708,0.2425496688741721,0.3385761589403973,0.0435619617219095,19.095412423535493,100,0.45,0.55,3.0,0.0202156000667148,0.3828640653010642,0.3828640637005692,0.7111111111111111,1.0,0.32,0.0082656584889628,0.0080039990134537,0.0015470547624863,0.0060476802126504,0.0001149436808191
1,ML1M,history_neumf,lxr_vapc,0.097682119205298,0.2127483443708609,0.287251655629139,0.0409093111480695,24.63599174193145,100,0.38,0.62,3.5,0.0128300848760102,0.263807495177022,0.2454969382549551,0.7894736842105263,1.0,0.3,0.0080815226747654,0.0077069108374416,0.0016327476268634,0.0058080453216098,9.592311223968864e-05
2,ML1M,history_neumf,lxr_vapc,0.1051324503311258,0.2326158940397351,0.3153973509933774,0.0471879544402435,23.190119698901743,100,0.6,0.4,3.2,0.0213844587405522,0.3073724218496124,0.2969817865792952,0.85,1.0,0.51,0.0082454062346369,0.0079661170020699,0.0016040951758623,0.0059578240546397,0.0001370752090588
