seed,dataset_label,backbone_label,explainer,hr10,hr50,hr100,mrr,mpr,eval_users,validity,no_cf_found_rate,mean_explanation_size,mean_score_drop,mean_cf_pce,mean_sps,mean_minimality_gap,median_minimality_gap,repair_changed_rate,mean_per_user_elapsed_seconds,median_per_user_elapsed_seconds,mean_ranking_seconds,mean_candidate_eval_seconds,mean_vapc_scoring_seconds
0,AmazonBooksDense_u3000_i1500,history_neumf,grad_input_base,0.0135135135135135,0.054054054054054,0.1216216216216216,0.0123316765034717,49.94598452842565,74,0.8243243243243243,0.1756756756756756,2.1311475409836067,0.0008479835557155,0.2423589825428073,0.1929683540033041,0.0,0.0,0.0,0.0106072755706672,0.0106004665140062,0.0037411692350901,0.0063125459741599,0.0
1,AmazonBooksDense_u3000_i1500,history_neumf,grad_input_base,0.027027027027027,0.054054054054054,0.0945945945945946,0.0070150808540038,51.252001466134246,74,0.3783783783783784,0.6216216216216216,2.821428571428572,0.0123207036937986,0.2349263491716212,0.159262568050162,0.0,0.0,0.0,0.0101098771477621,0.010099125560373,0.0033533976639847,0.0061971368708622,0.0
2,AmazonBooksDense_u3000_i1500,history_neumf,grad_input_base,0.027027027027027,0.0675675675675675,0.1216216216216216,0.0073057609092676,48.0641240812547,74,0.2837837837837837,0.7162162162162162,2.2857142857142856,0.009006829488845,0.2584896396982598,0.178695869629085,0.0,0.0,0.0,0.0100814297738661,0.0097919978434219,0.0029710346826578,0.0065277133552307,0.0
0,AmazonBooksDense_u3000_i1500,history_neumf,grad_input_vapc,0.0135135135135135,0.054054054054054,0.1216216216216216,0.0123316765034717,49.94598452842565,74,0.8243243243243243,0.1756756756756756,2.819672131147541,0.0010766054763168,0.2267288137822792,0.1946450849026295,0.6885245901639344,1.0,0.5675675675675675,0.0107888845770896,0.0107946101343259,0.0037411692350901,0.0063125459741599,0.0001816090064223
1,AmazonBooksDense_u3000_i1500,history_neumf,grad_input_vapc,0.027027027027027,0.054054054054054,0.0945945945945946,0.0070150808540038,51.252001466134246,74,0.3783783783783784,0.6216216216216216,3.4642857142857144,0.0145569592714309,0.2192604418938695,0.1661579874455814,0.6428571428571429,1.0,0.2432432432432432,0.0102124434920984,0.0101971568074077,0.0033533976639847,0.0061971368708622,0.0001025663443362
2,AmazonBooksDense_u3000_i1500,history_neumf,grad_input_vapc,0.027027027027027,0.0675675675675675,0.1216216216216216,0.0073057609092676,48.0641240812547,74,0.2837837837837837,0.7162162162162162,3.238095238095238,0.0123985040755498,0.2443986743295536,0.1465530630114884,0.9523809523809524,1.0,0.2702702702702703,0.0101720289409009,0.0098385587334632,0.0029710346826578,0.0065277133552307,9.059916703483544e-05
0,AmazonBooksDense_u3000_i1500,history_neumf,loo_base,0.0135135135135135,0.054054054054054,0.1216216216216216,0.0123316765034717,49.94598452842565,74,0.8108108108108109,0.1891891891891892,2.15,0.0008615851402282,0.2557509653380265,0.2145009041373232,0.0,0.0,0.0,0.0083210919354413,0.0083100690972059,0.0017391386271982,0.0060389373684301,0.0
1,AmazonBooksDense_u3000_i1500,history_neumf,loo_base,0.027027027027027,0.054054054054054,0.0945945945945946,0.0070150808540038,51.252001466134246,74,0.3783783783783784,0.6216216216216216,2.75,0.0120276574577604,0.2468622258056415,0.1750701979202918,0.0,0.0,0.0,0.0082173083462072,0.0081708563957363,0.0017675354988691,0.0059045603612085,0.0
2,AmazonBooksDense_u3000_i1500,history_neumf,loo_base,0.027027027027027,0.0675675675675675,0.1216216216216216,0.0073057609092676,48.0641240812547,74,0.2837837837837837,0.7162162162162162,2.333333333333333,0.0092156132062276,0.2567580379666581,0.1793452202784356,0.0,0.0,0.0,0.0083449608898042,0.0082684493390843,0.0018097051746539,0.0059828980781792,0.0
0,AmazonBooksDense_u3000_i1500,history_neumf,loo_vapc,0.0135135135135135,0.054054054054054,0.1216216216216216,0.0123316765034717,49.94598452842565,74,0.8108108108108109,0.1891891891891892,2.833333333333333,0.001081416507562,0.2373977139743946,0.1991228554964005,0.6833333333333333,1.0,0.5540540540540541,0.0084946633480187,0.0085169291123747,0.0017391386271982,0.0060389373684301,0.0001735714125774
