dataset,explainer,seeds,hr10_mean,hr10_std,validity_mean,validity_std,no_cf_found_mean,no_cf_found_std,explanation_size_mean,explanation_size_std,score_drop_mean,score_drop_std,cf_pce_mean,cf_pce_std,sps_mean,sps_std
ML1M-M20S10,grad_input_base,3,0.06181015452538632,0.009665717377559047,0.8300000000000001,0.017320508075688718,0.17,0.017320508075688773,3.326866549088771,0.49658118371676274,0.05981622016093508,0.007682020880602676,0.29865040868072185,0.027613140155127728,0.22299899266172182,0.029334949222820098
ML1M-M20S10,grad_input_vapc,3,0.06181015452538632,0.009665717377559047,0.8300000000000001,0.017320508075688718,0.17,0.017320508075688773,4.270282186948854,0.4791799411610661,0.07626528676154683,0.008540092004527822,0.2507686129133647,0.020426200373456337,0.18259586750285337,0.01813564039873744
ML1M-M20S10,loo_base,3,0.06181015452538632,0.009665717377559047,0.8300000000000001,0.017320508075688718,0.17,0.017320508075688773,3.326866549088771,0.49658118371676274,0.059815757988411704,0.007681867122793165,0.29923769486840895,0.027401155354117062,0.2229193172449473,0.029446137403461314
ML1M-M20S10,loo_vapc,3,0.06181015452538632,0.009665717377559047,0.8300000000000001,0.017320508075688718,0.17,0.017320508075688773,4.270282186948854,0.4791799411610661,0.07626527895617667,0.008540088234860488,0.2509859664171032,0.02076273738413775,0.1823785139991149,0.018235820374996683
ML1M-M20S10,lxr_base,3,0.06181015452538632,0.009665717377559047,0.63,0.034641016151377574,0.37000000000000005,0.03464101615137754,4.214990620667156,0.5073421223947453,0.056350059536889645,0.002480872630144578,0.33048167746386087,0.04149686637903334,0.3250037146218056,0.04127690905995413
ML1M-M20S10,lxr_vapc,3,0.06181015452538632,0.009665717377559047,0.63,0.034641016151377574,0.37000000000000005,0.03464101615137754,5.034091835902455,0.4759885850272576,0.06729043008899836,0.0026337480221255093,0.3083278413543638,0.03673550381528564,0.30438661520409194,0.03891516687596621
ML1M-M20S10,mc_shapley_base,3,0.06181015452538632,0.009665717377559047,0.8233333333333333,0.015275252316519468,0.17666666666666667,0.015275252316519465,3.3417322665290143,0.3851331096611151,0.06056885657246933,0.007923610901154059,0.2979770958802851,0.02160386957793858,0.22038745439330953,0.028077198387425357
ML1M-M20S10,mc_shapley_vapc,3,0.06181015452538632,0.009665717377559047,0.8233333333333333,0.015275252316519468,0.17666666666666667,0.015275252316519465,4.276777648728868,0.3761430870423665,0.07687968745761652,0.008613253936268562,0.2482818727776882,0.018704498840414755,0.1810527078803931,0.01505082804100167
