dataset,seed,explainer,users,mean_abs_raw_pop_shift,mean_raw_pop_shift,mean_raw_wasserstein,mean_cf_pce,mean_sps
ML1M-M10S5,0,grad_input_base,64,0.0805292408913374,0.05746319144964218,0.09118345060895958,0.3053516428559754,0.2695504463934389
ML1M-M10S5,1,grad_input_base,67,0.1090214617216765,0.02574303345893746,0.1256419575599395,0.3161893287474123,0.21288820402001368
ML1M-M10S5,2,grad_input_base,71,0.10395779534124992,0.03196125173232925,0.11868883234562075,0.3484308528422693,0.25120909903249783
ML1M-M10S5,0,grad_input_vapc,64,0.07128078863024712,0.041743068024516106,0.0823589384151823,0.25473042442796134,0.22383168145208582
ML1M-M10S5,1,grad_input_vapc,67,0.08631942343356004,0.022564752778010583,0.10481034556656295,0.26365946641688986,0.18275710258723793
ML1M-M10S5,2,grad_input_vapc,71,0.08839767835509608,0.01293119494344147,0.1039040863533825,0.285354828907549,0.18427176589582225
ML1M-M10S5,0,loo_base,64,0.08137611486017704,0.05831006541848183,0.09198168206199431,0.30691186515918234,0.27111066869664585
ML1M-M10S5,1,loo_base,67,0.1090214617216765,0.02574303345893746,0.1256419575599395,0.3161893287474123,0.21288820402001368
ML1M-M10S5,2,loo_base,71,0.10395779534124992,0.03196125173232925,0.11868883234562075,0.3484308528422693,0.25120909903249783
ML1M-M10S5,0,loo_vapc,64,0.07128078863024712,0.041743068024516106,0.0823589384151823,0.25473042442796134,0.22383168145208582
ML1M-M10S5,1,loo_vapc,67,0.08631942343356004,0.022564752778010583,0.10481034556656295,0.26365946641688986,0.18275710258723793
ML1M-M10S5,2,loo_vapc,71,0.08839767835509608,0.01293119494344147,0.1039040863533825,0.285354828907549,0.18427176589582225
ML1M-M10S5,0,lxr_base,43,0.09350789147754048,0.09334103451218716,0.09644880827716999,0.38115987628415415,0.37672410802323647
ML1M-M10S5,1,lxr_base,40,0.09537731409072876,0.0946459025144577,0.10229428383870523,0.2992573302329264,0.2908357118700322
ML1M-M10S5,2,lxr_base,52,0.11133776490504925,0.10935298983867352,0.11272211159435976,0.39468749875746856,0.3881085499212195
ML1M-M10S5,0,lxr_vapc,43,0.08898833601973778,0.08881746752317561,0.09174391278766242,0.3386307357024242,0.3331719245819136
ML1M-M10S5,1,lxr_vapc,40,0.09220092445611953,0.09213130027055741,0.09722058196101993,0.2810330642149614,0.2739169432933545
ML1M-M10S5,2,lxr_vapc,52,0.10562210701979123,0.10562210701979123,0.1071337637396285,0.3670080938737978,0.3663895574917355
ML1M-M10S5,0,mc_shapley_base,65,0.08299501950924214,0.05305678019156823,0.0934492144456373,0.30643753276180696,0.256531534116359
ML1M-M10S5,1,mc_shapley_base,67,0.10568854079317691,0.02810357310878697,0.12184462815849749,0.3184214052380078,0.21061353882937398
ML1M-M10S5,2,mc_shapley_base,70,0.103988236614636,0.030458162937845503,0.11950913938792825,0.34398564502434614,0.2602218049745956
ML1M-M10S5,0,mc_shapley_vapc,65,0.071799531349769,0.04059399824876052,0.08261444717883597,0.2519800891762233,0.21573015729933942
ML1M-M10S5,1,mc_shapley_vapc,67,0.07827336307781846,0.02645770382525316,0.09885668045595582,0.25910815209139904,0.18313656657852445
ML1M-M10S5,2,mc_shapley_vapc,70,0.0890555373259953,0.018998324019568306,0.101959065691869,0.2845857189329533,0.1923599899715168
