seed,dataset_label,backbone_label,explainer,hr10,hr50,hr100,mrr,mpr,eval_users,validity,no_cf_found_rate,mean_explanation_size,mean_score_drop,mean_cf_pce,mean_sps,mean_minimality_gap,median_minimality_gap,repair_changed_rate,mean_per_user_elapsed_seconds,median_per_user_elapsed_seconds,mean_ranking_seconds,mean_candidate_eval_seconds,mean_vapc_scoring_seconds
0,YelpDense_u2000_i1000,history_neumf,grad_input_base,0.1392857142857143,0.4535714285714285,0.6214285714285714,0.0505528626154214,12.161071428571429,100,0.27,0.73,3.0,0.0429719178764908,0.2376029724981661,0.2088165818629205,0.0,0.0,0.0,0.0103141839057207,0.0101242809323593,0.0039744791598059,0.0058073677262291,0.0
1,YelpDense_u2000_i1000,history_neumf,grad_input_base,0.1035714285714285,0.4071428571428571,0.5785714285714286,0.0509986871082648,12.488928571428572,100,0.46,0.54,2.847826086956522,0.0306493743606235,0.301283084159969,0.2860999102425791,0.0,0.0,0.0,0.010275382711552,0.0100583919556811,0.0038665753998793,0.0058665171195752,0.0
2,YelpDense_u2000_i1000,history_neumf,grad_input_base,0.1142857142857142,0.4035714285714286,0.5964285714285714,0.0589492809898101,14.379642857142866,100,0.3,0.7,2.7,0.0259994705518086,0.3482608898836971,0.3093719996040331,0.0,0.0,0.0,0.010400123076979,0.0102142785908654,0.0039320619241334,0.0059278388461098,0.0
0,YelpDense_u2000_i1000,history_neumf,grad_input_vapc,0.1392857142857143,0.4535714285714285,0.6214285714285714,0.0505528626154214,12.161071428571429,100,0.27,0.73,3.740740740740741,0.0546281690950746,0.2069713856911748,0.1900288254599001,0.7407407407407407,1.0,0.2,0.0103823020146228,0.0101639428175985,0.0039744791598059,0.0058073677262291,6.811810890212655e-05
1,YelpDense_u2000_i1000,history_neumf,grad_input_vapc,0.1035714285714285,0.4071428571428571,0.5785714285714286,0.0509986871082648,12.488928571428572,100,0.46,0.54,3.717391304347826,0.042101344336634,0.2724729534794283,0.2613219846006869,0.8695652173913043,1.0,0.4,0.0103782577160745,0.0101759975077584,0.0038665753998793,0.0058665171195752,0.0001028750045225
2,YelpDense_u2000_i1000,history_neumf,grad_input_vapc,0.1142857142857142,0.4035714285714286,0.5964285714285714,0.0589492809898101,14.379642857142866,100,0.3,0.7,3.466666666666667,0.0326309879620869,0.320755762815828,0.2851428859059725,0.7666666666666667,1.0,0.23,0.0104734395211562,0.0102316431002691,0.0039320619241334,0.0059278388461098,7.331644417718052e-05
0,YelpDense_u2000_i1000,history_neumf,loo_base,0.1392857142857143,0.4535714285714285,0.6214285714285714,0.0505528626154214,12.161071428571429,100,0.25,0.75,2.92,0.0455090618133544,0.2359962813708122,0.2089221313773945,0.0,0.0,0.0,0.0082874879147857,0.0081649968633428,0.001976086476352,0.005779156407807,0.0
1,YelpDense_u2000_i1000,history_neumf,loo_base,0.1035714285714285,0.4071428571428571,0.5785714285714286,0.0509986871082648,12.488928571428572,100,0.46,0.54,2.8260869565217392,0.0301328832688538,0.3114931427491283,0.2979524809810194,0.0,0.0,0.0,0.0083247335278429,0.0081107147270813,0.0018959382502362,0.0058636732958257,0.0
2,YelpDense_u2000_i1000,history_neumf,loo_base,0.1142857142857142,0.4035714285714286,0.5964285714285714,0.0589492809898101,14.379642857142866,100,0.3,0.7,2.6666666666666665,0.025769152243932,0.3474596076834034,0.3074489226809562,0.0,0.0,0.0,0.0083990116394124,0.0082384913694113,0.0019689147430472,0.0058849533949978,0.0
0,YelpDense_u2000_i1000,history_neumf,loo_vapc,0.1392857142857143,0.4535714285714285,0.6214285714285714,0.0505528626154214,12.161071428571429,100,0.25,0.75,3.68,0.0577182722091674,0.2011453366252707,0.1873782018176755,0.76,1.0,0.19,0.0083513238187879,0.0082294658059254,0.001976086476352,0.005779156407807,6.383590400218964e-05
