dataset,seed,explainer,users,mean_abs_raw_pop_shift,mean_raw_pop_shift,mean_raw_wasserstein,mean_cf_pce,mean_sps
ML1M-M20S10,0,grad_input_base,84,0.07284018468289148,0.05337456365426382,0.08410190023392253,0.2741235385239064,0.24320166812776822
ML1M-M20S10,1,grad_input_base,81,0.09958437048358681,0.020064620324123053,0.1154008043428561,0.29326986491478263,0.1893513564103404
ML1M-M20S10,2,grad_input_base,84,0.0992090677221616,0.03062865102574939,0.11347081382134995,0.32855782260347655,0.23644395344705676
ML1M-M20S10,0,grad_input_vapc,84,0.06386534727755047,0.037707965288843424,0.07641614381319298,0.23101819510183697,0.20281025944689918
ML1M-M20S10,1,grad_input_vapc,81,0.07895168993208143,0.019901962927830072,0.09670617479353665,0.2494782314227746,0.1677520882240903
ML1M-M20S10,2,grad_input_vapc,84,0.08491865013326917,0.013405330833934602,0.10014129916651068,0.27180941221548255,0.17722525483757057
ML1M-M20S10,0,loo_base,84,0.07348542199248359,0.054019800963855925,0.08471007657909184,0.27531227932634983,0.24439040893021166
ML1M-M20S10,1,loo_base,81,0.09958437048358681,0.020064620324123053,0.1154008043428561,0.29326986491478263,0.1893513564103404
ML1M-M20S10,2,loo_base,84,0.10046609278236117,0.029371625965549833,0.11452209329782095,0.3291309403640943,0.23501618639428973
ML1M-M20S10,0,loo_vapc,84,0.06386534727755047,0.037707965288843424,0.07641614381319298,0.23101819510183697,0.20281025944689918
ML1M-M20S10,1,loo_vapc,81,0.07895168993208143,0.019901962927830072,0.09670617479353665,0.2494782314227746,0.1677520882240903
ML1M-M20S10,2,loo_vapc,84,0.0851222574710846,0.013115134977159045,0.10043149466849668,0.27246147272669796,0.17657319432635513
ML1M-M20S10,0,lxr_base,61,0.09165710210800171,0.09140596917418183,0.09427415954408774,0.339066815899479,0.33469878562111605
ML1M-M20S10,1,lxr_base,61,0.08725709504768496,0.0867774808993105,0.09230039891613538,0.2853637305036438,0.2797422283095599
ML1M-M20S10,2,lxr_base,67,0.106305989756513,0.10444345314111282,0.10814290299093508,0.3670144859884598,0.3605701299347405
ML1M-M20S10,0,lxr_vapc,61,0.08839191960506752,0.08825415665986108,0.09076761381960995,0.3079059777365311,0.3028504100702187
ML1M-M20S10,1,lxr_vapc,61,0.08488067740299662,0.08451483777311981,0.08815040220302522,0.27180508611884063,0.26626229860836526
ML1M-M20S10,2,lxr_vapc,67,0.10084896479079973,0.10084896479079973,0.10273427985046815,0.3452724602077198,0.3440471369336917
ML1M-M20S10,0,mc_shapley_base,82,0.07394710837340937,0.04850960213963578,0.08542886032698552,0.2776960062374582,0.23505627371882215
ML1M-M20S10,1,mc_shapley_base,81,0.0967044484468154,0.022443042125230954,0.11210428035690098,0.29553848202890587,0.18801410757292922
ML1M-M20S10,2,mc_shapley_base,84,0.09908169046753929,0.027711716790994007,0.11443066094894026,0.3206967993744912,0.23809198188817712
ML1M-M20S10,0,mc_shapley_vapc,82,0.0634012164139166,0.03485505173845989,0.07610604003472937,0.230917208115515,0.1975026049452228
ML1M-M20S10,1,mc_shapley_vapc,81,0.07280966602725747,0.023427587232471986,0.0917988868091946,0.24584172369729185,0.16797203183943918
ML1M-M20S10,2,mc_shapley_vapc,84,0.08592134856042408,0.01699447206088475,0.09885255014620602,0.2680866865202576,0.1776834868565174
