dataset,explainer,seeds,users_mean,raw_wasserstein_mean,raw_wasserstein_std,abs_raw_shift_mean,abs_raw_shift_std,raw_shift_mean,raw_shift_std,cf_pce_mean,cf_pce_std,sps_mean,sps_std
ML1M-M20S10,grad_input_base,3,83.0,0.10432450613270954,0.01753985626670062,0.09054454096287996,0.015333570572676768,0.03468927833471209,0.017022179700937758,0.29865040868072185,0.027613140155127714,0.22299899266172182,0.02933494922282008
ML1M-M20S10,grad_input_vapc,3,83.0,0.0910878725910801,0.012821651175389272,0.07591189578096702,0.010850836449072272,0.023671753016869367,0.012582249335822054,0.25076861291336466,0.020426200373456292,0.18259586750285337,0.018135640398737465
ML1M-M20S10,loo_base,3,83.0,0.10487765807325629,0.017471163120067024,0.0911786284194772,0.015329107077850124,0.0344853490845096,0.017545688820113627,0.29923769486840895,0.02740115535411703,0.22291931724494726,0.029446137403461293
ML1M-M20S10,loo_vapc,3,83.0,0.09118460442507544,0.012924785246813035,0.07597976489357217,0.01093564408573553,0.023575021064610846,0.012701194539961746,0.2509859664171032,0.02076273738413767,0.18237851399911487,0.018235820374996704
ML1M-M20S10,lxr_base,3,63.0,0.09823915381705273,0.008633488201676951,0.09507339563739987,0.00997338425592136,0.09420896773820171,0.009160471850535626,0.33048167746386087,0.04149686637903337,0.3250037146218055,0.041276909059954126
ML1M-M20S10,lxr_vapc,3,63.0,0.09388409862436776,0.00777539259218537,0.09137385393295462,0.008391394388106283,0.09120598640792688,0.008557797643295844,0.3083278413543638,0.03673550381528564,0.3043866152040919,0.03891516687596621
ML1M-M20S10,mc_shapley_base,3,82.33333333333333,0.10398793387760892,0.016114664748540106,0.08991108242925468,0.013876208799526288,0.03288812035195358,0.01378269759936633,0.2979770958802851,0.02160386957793858,0.2203874543933095,0.028077198387425367
ML1M-M20S10,mc_shapley_vapc,3,82.33333333333333,0.08891915899670999,0.01164347691921856,0.07404407700053271,0.01131069917433253,0.025092370343938877,0.009045921938139946,0.24828187277768812,0.018704498840414727,0.1810527078803931,0.015050828041001673
