dataset,base_explainer,seeds,users_mean,paired_valid_users_mean,validity_delta_mean,validity_delta_std,no_cf_found_delta_mean,no_cf_found_delta_std,cf_pce_improvement_mean,cf_pce_improvement_std,abs_sps_improvement_mean,abs_sps_improvement_std,minimality_gap_mean,minimality_gap_std,repair_changed_rate_mean,repair_changed_rate_std,win_mean,tie_mean,loss_mean
AmazonBooksDense_u3000_i1500,loo,3,74.0,53.666666666666664,0.0,0.0,0.0,0.0,0.03857303579062576,0.00480703686043655,0.042765350360505605,0.006459664099743207,0.8393069490895577,0.10375579413216168,0.6216216216216216,0.2367758847018275,28.666666666666668,9.333333333333334,15.666666666666666
AmazonBooksDense_u3000_i1500,lxr,3,74.0,42.333333333333336,0.0,0.0,0.0,0.0,0.02440150761789539,0.01980316431955664,0.026682691379254136,0.02386106960233406,0.7064602064602065,0.21956120077200242,0.4189189189189189,0.19158711998321384,17.666666666666668,12.333333333333334,12.333333333333334
