dataset,explainer,segment,users/seed,Validity,No-CF-found,CF-PCE,SPS,Hist Pop Median
YelpDense_u2000_i1000,loo,mainstream,48.7,0.2670 ± 0.0531,0.7330 ± 0.0531,0.2403 ± 0.0552,0.1567 ± 0.0817,0.6983
YelpDense_u2000_i1000,loo,niche,51.3,0.3632 ± 0.0554,0.6368 ± 0.0554,0.2509 ± 0.0073,0.2333 ± 0.0123,0.3736
YelpDense_u2000_i1000,lxr,mainstream,48.7,0.1910 ± 0.1018,0.8090 ± 0.1018,0.2181 ± 0.0459,0.1168 ± 0.1207,0.6983
YelpDense_u2000_i1000,lxr,niche,51.3,0.2986 ± 0.0211,0.7014 ± 0.0211,0.1871 ± 0.0303,0.1001 ± 0.0489,0.3736
