dataset,explainer,seeds,users/seed,Raw W1,Abs raw shift,Signed raw shift,CF-PCE,SPS
Amazon-M10S5,grad_input_base,3,86.7,0.2499 ± 0.0384,0.2294 ± 0.0468,0.1545 ± 0.0872,0.3041 ± 0.0667,0.2270 ± 0.1167
Amazon-M10S5,grad_input_vapc,3,86.7,0.1962 ± 0.0352,0.1749 ± 0.0445,0.1201 ± 0.0741,0.2523 ± 0.0624,0.1898 ± 0.1000
Amazon-M10S5,loo_base,3,87.0,0.2498 ± 0.0362,0.2283 ± 0.0442,0.1564 ± 0.0888,0.3063 ± 0.0646,0.2324 ± 0.1177
Amazon-M10S5,loo_vapc,3,87.0,0.1975 ± 0.0370,0.1768 ± 0.0464,0.1237 ± 0.0747,0.2539 ± 0.0651,0.1948 ± 0.0990
Amazon-M10S5,lxr_base,3,60.3,0.2317 ± 0.0399,0.2094 ± 0.0504,0.1883 ± 0.0728,0.2616 ± 0.0500,0.2376 ± 0.0642
Amazon-M10S5,lxr_vapc,3,60.3,0.1874 ± 0.0274,0.1659 ± 0.0299,0.1435 ± 0.0571,0.2222 ± 0.0313,0.1941 ± 0.0501
Amazon-M10S5,mc_shapley_base,3,82.0,0.2351 ± 0.0367,0.2087 ± 0.0413,0.1197 ± 0.0802,0.2751 ± 0.0577,0.1850 ± 0.0988
Amazon-M10S5,mc_shapley_vapc,3,82.0,0.1848 ± 0.0221,0.1600 ± 0.0290,0.1015 ± 0.0559,0.2338 ± 0.0408,0.1658 ± 0.0743
