dataset,explainer,seeds,HR@10,Validity,No-CF-found,Mean Expl Size,Score Drop,CF-PCE,SPS
AmazonBooksDense_u3000_i1500,loo,3,0.0090 ± 0.0078,0.7252 ± 0.1969,0.2748 ± 0.1969,2.305 ± 0.452,0.0141 ± 0.0065,0.2960 ± 0.0194,0.2813 ± 0.0354
AmazonBooksDense_u3000_i1500,lxr,3,0.0090 ± 0.0078,0.5721 ± 0.1284,0.4279 ± 0.1284,2.467 ± 0.496,0.0114 ± 0.0052,0.2155 ± 0.0269,0.1715 ± 0.0355
