dataset,explainer,seeds,HR@10,Validity,No-CF-found,Mean Expl Size,Score Drop,CF-PCE,SPS
Amazon-M20S10,grad_input_base,3,0.0847 ± 0.0149,0.7119 ± 0.1433,0.2881 ± 0.1433,4.052 ± 0.661,0.0475 ± 0.0210,0.2614 ± 0.0755,0.1995 ± 0.1092
Amazon-M20S10,grad_input_vapc,3,0.0847 ± 0.0149,0.7119 ± 0.1433,0.2881 ± 0.1433,4.973 ± 0.628,0.0595 ± 0.0268,0.2188 ± 0.0688,0.1678 ± 0.0936
Amazon-M20S10,loo_base,3,0.0847 ± 0.0149,0.7119 ± 0.1442,0.2881 ± 0.1442,4.030 ± 0.660,0.0473 ± 0.0219,0.2623 ± 0.0751,0.2036 ± 0.1103
Amazon-M20S10,loo_vapc,3,0.0847 ± 0.0149,0.7119 ± 0.1442,0.2881 ± 0.1442,4.948 ± 0.620,0.0594 ± 0.0276,0.2206 ± 0.0712,0.1717 ± 0.0929
Amazon-M20S10,lxr_base,3,0.0847 ± 0.0149,0.5650 ± 0.1037,0.4350 ± 0.1037,4.566 ± 0.146,0.0408 ± 0.0175,0.2121 ± 0.0431,0.1928 ± 0.0531
Amazon-M20S10,lxr_vapc,3,0.0847 ± 0.0149,0.5650 ± 0.1037,0.4350 ± 0.1037,5.397 ± 0.159,0.0508 ± 0.0232,0.1836 ± 0.0294,0.1626 ± 0.0408
Amazon-M20S10,mc_shapley_base,3,0.0847 ± 0.0149,0.6930 ± 0.1271,0.3070 ± 0.1271,4.142 ± 0.921,0.0478 ± 0.0208,0.2402 ± 0.0645,0.1720 ± 0.0915
Amazon-M20S10,mc_shapley_vapc,3,0.0847 ± 0.0149,0.6930 ± 0.1271,0.3070 ± 0.1271,5.053 ± 0.908,0.0597 ± 0.0265,0.2068 ± 0.0493,0.1537 ± 0.0705
