dataset,seed,explainer,hr10,hr50,hr100,mrr,mpr,validity,no_cf_found_rate,mean_explanation_size,mean_score_drop,mean_cf_pce,mean_sps
Amazon-M20S10,0,grad_input_base,0.1016949152542373,0.2542372881355932,0.5423728813559322,0.04472111322427302,23.087983877359232,0.8135593220338984,0.1864406779661017,4.4375,0.07043525079886119,0.2010635896729625,0.09200896984003709
Amazon-M20S10,1,grad_input_base,0.07344632768361582,0.2824858757062147,0.4576271186440678,0.029297870311007747,25.19389060607089,0.5480225988700564,0.4519774011299435,3.288659793814433,0.04283643506236912,0.3461093920830209,0.3102750983473833
Amazon-M20S10,2,grad_input_base,0.07909604519774012,0.24293785310734464,0.4632768361581921,0.03300298835638054,25.0648189033434,0.7740112994350282,0.22598870056497175,4.430656934306569,0.02911565469129242,0.23696590310378846,0.19624132253772664
Amazon-M20S10,0,grad_input_vapc,0.1016949152542373,0.2542372881355932,0.5423728813559322,0.04472111322427302,23.087983877359232,0.8135593220338984,0.1864406779661017,5.3125,0.08791763169897927,0.16356784261531424,0.07412468210376821
Amazon-M20S10,1,grad_input_vapc,0.07344632768361582,0.2824858757062147,0.4576271186440678,0.029297870311007747,25.19389060607089,0.5480225988700564,0.4519774011299435,4.247422680412371,0.055896900978285015,0.2958609614072969,0.26126695224386387
Amazon-M20S10,2,grad_input_vapc,0.07909604519774012,0.24293785310734464,0.4632768361581921,0.03300298835638054,25.0648189033434,0.7740112994350282,0.22598870056497175,5.357664233576642,0.03463460450624897,0.1969417171460013,0.16798974894600466
Amazon-M20S10,0,loo_base,0.1016949152542373,0.2542372881355932,0.5423728813559322,0.04472111322427302,23.087983877359232,0.8192090395480226,0.1807909604519774,4.517241379310345,0.07133233834957255,0.19745628613148694,0.09184191947510137
Amazon-M20S10,1,loo_base,0.07344632768361582,0.2824858757062147,0.4576271186440678,0.029297870311007747,25.19389060607089,0.5480225988700564,0.4519774011299435,3.2783505154639174,0.042280873686996935,0.34450895614664945,0.31238156260022654
Amazon-M20S10,2,loo_base,0.07909604519774012,0.24293785310734464,0.4632768361581921,0.03300298835638054,25.0648189033434,0.768361581920904,0.23163841807909605,4.294117647058823,0.028409203185754663,0.24482732165012652,0.20649267725900786
Amazon-M20S10,0,loo_vapc,0.1016949152542373,0.2542372881355932,0.5423728813559322,0.04472111322427302,23.087983877359232,0.8192090395480226,0.1807909604519774,5.379310344827586,0.08872510523631655,0.16049680668968117,0.0782332856616577
Amazon-M20S10,1,loo_vapc,0.07344632768361582,0.2824858757062147,0.4576271186440678,0.029297870311007747,25.19389060607089,0.5480225988700564,0.4519774011299435,4.237113402061856,0.05546510588262499,0.2993153192044146,0.26394969713444
Amazon-M20S10,2,loo_vapc,0.07909604519774012,0.24293785310734464,0.4632768361581921,0.03300298835638054,25.0648189033434,0.768361581920904,0.23163841807909605,5.227941176470588,0.03396676568424001,0.2020811050516939,0.17297981508287738
Amazon-M20S10,0,lxr_base,0.1016949152542373,0.2542372881355932,0.5423728813559322,0.04472111322427302,23.087983877359232,0.6384180790960452,0.3615819209039548,4.6902654867256635,0.06000388881801504,0.17178455094623885,0.14215785868457448
Amazon-M20S10,1,lxr_base,0.07344632768361582,0.2824858757062147,0.4576271186440678,0.029297870311007747,25.19389060607089,0.4463276836158192,0.5536723163841808,4.405063291139241,0.036716179757178585,0.25749343619228954,0.24806873225406637
Amazon-M20S10,2,lxr_base,0.07909604519774012,0.24293785310734464,0.4632768361581921,0.03300298835638054,25.0648189033434,0.6101694915254238,0.3898305084745763,4.601851851851852,0.025788803343419677,0.20712901263305417,0.1882242779281151
Amazon-M20S10,0,lxr_vapc,0.1016949152542373,0.2542372881355932,0.5423728813559322,0.04472111322427302,23.087983877359232,0.6384180790960452,0.3615819209039548,5.504424778761062,0.07619307420950021,0.15189016731293759,0.11769027845450354
Amazon-M20S10,1,lxr_vapc,0.07344632768361582,0.2824858757062147,0.4576271186440678,0.029297870311007747,25.19389060607089,0.4463276836158192,0.5536723163841808,5.215189873417722,0.04549445230749589,0.2100258259331055,0.19734283243829492
Amazon-M20S10,2,lxr_vapc,0.07909604519774012,0.24293785310734464,0.4632768361581921,0.03300298835638054,25.0648189033434,0.6101694915254238,0.3898305084745763,5.472222222222222,0.030631560418340895,0.18887606528889775,0.17289074112637431
Amazon-M20S10,0,mc_shapley_base,0.1016949152542373,0.2542372881355932,0.5423728813559322,0.04472111322427302,23.087983877359232,0.7853107344632768,0.21468926553672316,4.35251798561151,0.07140535888054388,0.20255213270851996,0.0902243637731604
Amazon-M20S10,1,mc_shapley_base,0.07344632768361582,0.2824858757062147,0.4576271186440678,0.029297870311007747,25.19389060607089,0.5480225988700564,0.4519774011299435,3.134020618556701,0.03965389175513356,0.3146721573661108,0.2708634913359991
Amazon-M20S10,2,mc_shapley_base,0.07909604519774012,0.24293785310734464,0.4632768361581921,0.03300298835638054,25.0648189033434,0.7457627118644068,0.2542372881355932,4.9393939393939394,0.032191294612306534,0.20339791811739005,0.15478851017027132
Amazon-M20S10,0,mc_shapley_vapc,0.1016949152542373,0.2542372881355932,0.5423728813559322,0.04472111322427302,23.087983877359232,0.7853107344632768,0.21468926553672316,5.223021582733813,0.08917182040729112,0.17295730541744445,0.08317906430337511
Amazon-M20S10,1,mc_shapley_vapc,0.07344632768361582,0.2824858757062147,0.4576271186440678,0.029297870311007747,25.19389060607089,0.5480225988700564,0.4519774011299435,4.072164948453608,0.052392373994453664,0.26331387077055984,0.22423617669034093
Amazon-M20S10,2,mc_shapley_vapc,0.07909604519774012,0.24293785310734464,0.4632768361581921,0.03300298835638054,25.0648189033434,0.7457627118644068,0.2542372881355932,5.863636363636363,0.037627362392165443,0.1840241360202566,0.1536891766341694
