seed,dataset_label,backbone_label,explainer,hr10,hr50,hr100,mrr,mpr,eval_users,validity,no_cf_found_rate,mean_explanation_size,mean_score_drop,mean_cf_pce,mean_sps,mean_minimality_gap,median_minimality_gap,repair_changed_rate,mean_per_user_elapsed_seconds,median_per_user_elapsed_seconds,mean_ranking_seconds,mean_candidate_eval_seconds,mean_vapc_scoring_seconds
0,ML1M,mlp,grad_input_base,0.070364238410596,0.1746688741721854,0.2450331125827814,0.0349991971398654,29.648052713743155,100,0.64,0.36,2.59375,0.0559634575620293,0.3053516428559754,0.2695504463934389,0.0,0.0,0.0,0.0066213910956867,0.0058312786277383,0.0032821538369171,0.0030947502492927,0.0
1,ML1M,mlp,grad_input_base,0.0513245033112582,0.1655629139072847,0.2185430463576159,0.0240285789681003,29.733551929265843,100,0.67,0.33,2.2238805970149254,0.043416001903477,0.3161893287474123,0.2128882040200137,0.0,0.0,0.0,0.0067623360967263,0.0059539939975366,0.0032547998568043,0.0032579440437257,0.0
2,ML1M,mlp,grad_input_base,0.0637417218543046,0.152317880794702,0.2235099337748344,0.0306395158012801,30.47483894219936,100,0.71,0.29,2.126760563380281,0.0478708819604255,0.3484308528422693,0.2512090990324979,0.0,0.0,0.0,0.0066061857249587,0.0059684355510398,0.00322346230736,0.0031382408295758,0.0
0,ML1M,mlp,grad_input_vapc,0.070364238410596,0.1746688741721854,0.2450331125827814,0.0349991971398654,29.648052713743155,100,0.64,0.36,3.40625,0.0701407315209508,0.2547304244279613,0.2238316814520858,0.8125,1.0,0.52,0.0067629942973144,0.0060142225120216,0.0032821538369171,0.0030947502492927,0.0001416032016277
1,ML1M,mlp,grad_input_vapc,0.0513245033112582,0.1655629139072847,0.2185430463576159,0.0240285789681003,29.733551929265843,100,0.67,0.33,3.08955223880597,0.0579861046662971,0.2636594664168899,0.1827571025872379,0.8656716417910447,1.0,0.58,0.006913054564502,0.0061268305871635,0.0032547998568043,0.0032579440437257,0.0001507184677757
2,ML1M,mlp,grad_input_vapc,0.0637417218543046,0.152317880794702,0.2235099337748344,0.0306395158012801,30.47483894219936,100,0.71,0.29,3.0704225352112675,0.0676101907877854,0.285354828907549,0.1842717658958222,0.943661971830986,1.0,0.67,0.0067631800193339,0.0061621947679668,0.00322346230736,0.0031382408295758,0.0001569942943751
0,ML1M,mlp,loo_base,0.070364238410596,0.1746688741721854,0.2450331125827814,0.0349991971398654,29.648052713743155,100,0.64,0.36,2.59375,0.0559630189090967,0.3069118651591824,0.2711106686966459,0.0,0.0,0.0,0.0060131017467938,0.0052681131055578,0.0026151981740258,0.0031483843852765,0.0
1,ML1M,mlp,loo_base,0.0513245033112582,0.1655629139072847,0.2185430463576159,0.0240285789681003,29.733551929265843,100,0.67,0.33,2.2238805970149254,0.043416001903477,0.3161893287474123,0.2128882040200137,0.0,0.0,0.0,0.0062657759874127,0.005408423487097,0.0028220627945847,0.0031917559448629,0.0
2,ML1M,mlp,loo_base,0.0637417218543046,0.152317880794702,0.2235099337748344,0.0306395158012801,30.47483894219936,100,0.71,0.29,2.126760563380281,0.0478708819604255,0.3484308528422693,0.2512090990324979,0.0,0.0,0.0,0.0063912788708694,0.0057050519390031,0.0028639256278984,0.0032785158720798,0.0
0,ML1M,mlp,loo_vapc,0.070364238410596,0.1746688741721854,0.2450331125827814,0.0349991971398654,29.648052713743155,100,0.64,0.36,3.40625,0.0701407315209508,0.2547304244279613,0.2238316814520858,0.8125,1.0,0.52,0.0061557438597083,0.0054451109608635,0.0026151981740258,0.0031483843852765,0.0001426421129144
